epoch,loss,val_loss
0,0.015871686860919,0.009929433465003967
1,0.008937107399106026,0.008328111842274666
2,0.007904342375695705,0.007464210502803326
3,0.007330023217946291,0.0068925912491977215
4,0.006946498993784189,0.007357507944107056
5,0.006689411588013172,0.006790246814489365
6,0.006480684969574213,0.006418091710656881
7,0.006306149065494537,0.006405412219464779
8,0.0061746942810714245,0.006291717290878296
9,0.006058830302208662,0.0061643365770578384
10,0.005953213199973106,0.006077874917536974
11,0.00587598467245698,0.006101637613028288
12,0.005792974028736353,0.006049664691090584
13,0.005732960533350706,0.006170530803501606
